"Timestamp","Participant ID","Sex","Age","Are you familiar with  head-mounted virtual reality?","Are you familiar with speech recognition systems?","Are you a native English speaker?","Do you have any accessibility needs? ","What do you like about this technique?","What do you dislike about this technique?","Other open comments","I think that I would like to use this system frequently.","I found the system unnecessarily complex.","I thought the system was easy to use.","I think that I would need the support of a technical person to be able to use this system.","I found the various functions in this system were well integrated.","I thought there was too much inconsistency in this system.","I would imagine that most people would learn to use this system very quickly.","I found the system very cumbersome to use.","I felt very confident using the system.","I needed to learn a lot of things before I could get going with this system.","Mental Demand: How mentally demanding was the task?","Physical Demand: How physically demanding was the task? ","Temporal Demand: How hurried or rushed was the pace of the task? ","Performance: How successful were you in accomplishing what you were asked to do? ","Effort: How hard did you have to work to accomplish your level of performance? ","Frustration: How insecure, discouraged, irritated, stressed, and annoyed were you? ","What do you think of the technique?","What do you think of the technique?","What do you think of the technique?","What do you think of the technique?","What do you think of the technique?","What do you think of the technique?","What do you think of the technique?","What do you think of the technique?","What do you like about this technique?","What do you dislike about this technique?","Other open comments","I think that I would like to use this system frequently.","I found the system unnecessarily complex.","I thought the system was easy to use.","I think that I would need the support of a technical person to be able to use this system.","I found the various functions in this system were well integrated.","I thought there was too much inconsistency in this system.","I would imagine that most people would learn to use this system very quickly.","I found the system very cumbersome to use.","I felt very confident using the system.","I needed to learn a lot of things before I could get going with this system.","Mental Demand: How mentally demanding was the task?","Physical Demand: How physically demanding was the task? ","Temporal Demand: How hurried or rushed was the pace of the task? ","Performance: How successful were you in accomplishing what you were asked to do? ","Effort: How hard did you have to work to accomplish your level of performance? ","Frustration: How insecure, discouraged, irritated, stressed, and annoyed were you? ","What do you think of the technique?","What do you think of the technique?","What do you think of the technique?","What do you think of the technique?","What do you think of the technique?","What do you think of the technique?","What do you think of the technique?","What do you think of the technique?","Overall Preference","Among both techniques, which features did you like?","Among both techniques, which features did you dislike?","Which features would you wish to have?","Other open comments"
"2024/04/26 1:44:57 PM GMT+1","1","Male","25","5","4","","","The group selection given by speech feels good when there is a large amount of targets","The recognition sometimes do not work","","3","2","3","2","3","3","2","3","3","1","7","7","5","3","6","5","4","6","4","3","2","2","2","2","it give a feeling of direct manipulation with the magnifying glass tool so I can search for the target more easily","The technique feels tedious when there are more targets","","3","3","2","4","3","2","2","4","3","3","8","8","5","3","9","6","4","2","3","4","4","5","5","4","Technique 1","I like the group select of the speech, and the direct manipulation with the minimap","","",""
"2024/05/02 11:30:15 AM GMT+1","2","Male","29","4","4","","No","I can select multiple objects in one go. When the speech recognition works, it's very efficient. ","Sometimes the speech recognition fails for uncommon words","Preset speech recognition vocabulary to match recognition results with scene objects (context aware recognition) 
If the system has memory about previous speech instructions and users can simplify their instructions for the next one. It may reduce the cognitive load of remembering the descriptions of all objects. 
It seems I have learn the descriptions of objects prior to the test. I wonder if I can use open world language to select objects. ","4","1","4","4","5","1","5","1","4","4","7","4","1","8","8","3","7","6","7","6","7","7","7","7","I have a full control of the system. When selecting a small number of objects (1-2), I feel it's very efficient. ","When the object number comes to 4 or 8, this technique becomes a bit annoying, especially when I can't find the target for the first sight.","different agency; number of objects do not necessarily affect user preference on DiscPIM and AssistVR, but rather object occlusion affects user preference on two techniques","4","2","2","1","5","1","5","4","5","1","9","9","9","8","10","8","4","5","5","1","6","3","4","4","Technique 1","Selecting multiple objects using speech, without  being aware the location of the targets. The mini map quickly bring far away objects close to me.  ","The speech recognition fails sometime. The overlapped objects in the mini map are not presented directly to me. ","Instead of using my right hand controller to splite the overlapped objects, it would be nicer to display them in the mini map directly. This can reduce a lot of cognitive load when identifying which objects are hidding behind some others. ","Is there a mixture of mini map and speech recognition. So I only need to describe the unique quality/characteristic of the target objects, instead of saying out all their qualities. Vise versa, if I can use speech recognition first to select a set of objects with same qualities, then select the target objects from this set. This may not only reduce the effort I need to make when describing all the qualities of the objects."
"2024/05/11 2:05:21 PM GMT+1","3","Male","20","2","2","","","fast, voice was recognised reliably","for one item I had to say 'pattern' rather than 'patterned', but for the thers it was fine","","4","2","4","2","4","1","4","2","5","3","4","2","4","8","5","4","4","5","3","6","2","2","6","4","active, requires thinking and not too repetitive","clicking on the objects once identified is a bit clunky, not always responsive","","4","4","2","3","4","2","3","3","3","4","7","5","5","5","7","6","4","3","3","4","5","5","5","4","Technique 2","being able to seperate the shapes when they are close to you is useful.","having to press A and wait t be able to speak slows the process down","automated speaking without pressing A. ability to blur areas I'm not focusing on",""
"2024/05/11 4:02:18 PM GMT+1","4","Female","20","1","2","","N/A","easy to use and recognise, rarely fails","cannot pick up mistakes where there is an attempt to correct","","4","2","4","3","4","2","4","2","3","2","6","7","3","3","3","2","5","6","7","7","2","3","4","5","somewhat more engaging than speech recognition, less repetitive","tiring for my eyes, and time consuming","","4","2","4","2","5","1","5","2","4","2","8","3","3","2","4","7","5","5","6","3","5","5","4","5","Technique 2","both were easy to use, and reliable in completing the task","the second technique was less reliable for finding multiple items.","the speech recognition feature",""
"2024/05/11 8:21:13 PM GMT+1","5","Male","28","4","3","","no","Speech recognition is a bit headache. It would be great to have more flexible verbal input options. being able to select all stuff seems to be productive, especially when objects are hard to hand picked. Nevertheless, I think get the speech recognization right is the key factor to improve effectivness and user experience.
speech rec idealy could be: 1. more flexible . 2. multiple commonds at the same time.","speech recognition capablity is not good. we end up needing to repeat many time until it get right. Sometime due to accent it seems it will never get it right.","","3","1","4","1","4","2","5","2","5","1","4","2","4","8","4","6","6","7","6","6","4","4","4","4","you know what to expect from the system, better than unstable deep learning based speech recognization. ","selecting multiple objects are a bit tricky and boring, especially when they are overlapped with each other.","i do not dislike such technique too much tbh. being able to put stuff on your hand in virtural world and interact with it (rotate, selecting) is cool experience. sometime you will loss patient but at least you are sure what you will get from you action that feeling is good.","2","1","3","1","3","2","5","1","5","2","4","9","5","10","4","1","5","5","4","1","3","4","5","3","Technique 1","i like how the second one  you want put stuff in your hand and rotate around and see it at differnet angle. that is really cool.","speech recognition, inconsistent.","",""
"2024/05/12 3:06:25 PM GMT+1","6","Male","33","1","1","","No","Speech could be faster for 4 object. For 1 and 2 objects, selection by hand is faster.","In manual selection, bjects are sometimes hidden or embdded which makes it difficult to select manually.","Some experienced people like, playstations familiar people could be faster with these techniques.","3","3","2","4","4","3","3","2","4","4","7","5","3","3","7","4","6","4","6","5","6","6","5","4","Manual selection was given mandatorily which enabled to think beyond speech recognition","Difficult when embdded objects are required to be selected.","","4","1","4","2","4","1","4","1","4","3","2","2","3","8","5","2","7","6","4","2","6","6","5","5","Technique 1","Speech recognition is faster for many obejcts or embedded objects. Technique 2 gives good idea of manual object selection.","None","More irregular shape selection.",""
"2024/05/13 10:47:12 AM GMT+1","7","Male","24","2","4","","no","Minimap worked very well, felt intuative. Right trigger to separate objects also works smoothly","Grabbing felt inconsistent, often highlighted item not selected after perssing button","","4","1","4","1","5","4","4","1","4","2","5","3","5","9","6","3","7","6","6","7","6","4","6","6","Very easy, worked well","Slight errors are frustrating. Sometimes seemed like inferred commas prevented recognition? Awkward to remeber the more convoluted shape names.","","3","1","5","1","3","4","5","3","4","2","6","1","3","8","3","6","4","7","6","2","1","3","3","3","Technique 1","Tasks were clear, system for the most part worked very smoothly with minimal lag","Slight frustrations with diffuculties in selecting desired objects (grabber/misrecognised speech)","Both techniques combined would probably be very effective",""
"2024/05/13 2:58:17 PM GMT+1","8","Male","29","4","4","No","No","I think the minimap is helping, and make it easier","A bit hard to grab the object, eventhought I already find it","In general, I feel dizzi with Oculus","4","2","5","5","4","1","4","2","5","4","9","6","5","1","10","7","6","5","7","7","6","6","6","7","the voice control can help in instant","the voice control have a sensitivity on accent","sometimes for fewer object, was easier with targeting directly","3","2","1","3","2","5","5","4","5","4","3","3","6","10","9","8","2","2","2","1","6","6","4","2","Technique 1","map","voice control","map","thanks"
"2024/05/13 4:35:53 PM GMT+1","9","Female","18","2","3","Yes","","- enlarges objects that appear smaller that and ones that are further away from the user, which makes it easier to view the objects at that distance","easy to miss objects that are at similar coordinates, e.g. if two objects are the same shape and same coordinates then it can be easy to miss the shape you are looking for if only the other one is displayed","quite easy to get used to, and using both hands makes it quite efficient","3","2","5","1","4","2","3","1","4","2","4","3","2","3","5","1","6","5","5","7","6","6","3","5","easy to select close and large objects using raycast. if the objects are difficult to find then just use speech recognition","sometimes speeh recognition can misinterpret and select the wrong items, and time has be put in to memorise how shapres are identified and their patterns.","","3","3","4","1","5","4","2","3","4","4","6","2","2","4","3","6","4","5","6","2","3","3","2","3","Technique 1","minimap was more inventive however may be more physically demanding if used for longer. both techniques are quick to learn.","technique 2 is more inconsistent than 1","",""
"2024/05/13 6:44:54 PM GMT+1","10","Female","28","2","3","Yes","No","I liked that you could focus in on more complicated object settings (e.g.occlusion, overlap)","It was hard to get the selection button to work efficiently for every case","","3","2","4","1","5","1","5","2","4","2","6","3","5","2","6","3","6","5","6","5","5","5","5","4","Efficiency ","Elocution needs to be accurate","The raycaster is a bit useless unless the object is right in front of youThe raycaster is a bit useless unless the object is right in front of you","4","4","4","1","3","3","5","3","3","1","3","2","5","3","3","4","5","4","6","4","4","4","5","5","Technique 1","I like that you could pick out from each other with a lot of precision in technique 1, and the efficiency of technique 2 in finding the shapes when there multiple to collect in one scene","I didn't like that technique 2 was so sensitive to small changes in pronounciation and that the raycaster function was not very useful","I can't think of any immediately","I chose technique 1 over 2 because I found it more intuitive and less frustrating to use. I could also see it working in situations where you don't have labelled shapes, something that is required for technique 2."
"2024/05/14 10:49:11 AM GMT+1","11","Male","19","5","3","Yes","No","Could see behind occluded objects and minimap visually clarified what an object was if it was too far away to tell.","Minimap sometimes showed objects inside eachother which made them difficult to spot.","","3","1","4","2","5","1","3","2","5","3","5","3","7","2","6","1","6","6","6","6","4","4","5","4","Very quick to pick out objects that can be directly seen (via raycast). Fast way to pick many occluded objects (voice).","Voice reginition doesnt always work perfectly, having to deselect only with voice and not a button is slow.","","3","1","5","2","5","3","4","2","5","1","4","3","7","1","3","3","6","6","7","1","4","4","1","1","Technique 2","Technique 1 is fun, good for a game but don't see much practical use. Technique 2 voice can be very fast & efficient for large number of objects (as instantly selects all).","Technique 1, sometimes objects would be dispayed inside eachother on the minimap, if they were the same color then it was difficult to tell they were inside eachother.
Technique 2, voice recognition doesnt always work and takes time to run, would prefer just a   menu attached to a hand for mass selection.","Menu attached to a hand, use virtual finger (users controller) or raycast for interaction, have grid of all shapes, pick, then pick from grid of all colors, and then it would mass select all of that item type like voice would.","Technique 2 is only better when user is able to use voice, if the user was only capable of using the raycast feature (due to disability or accent), then technique 1 is far better than just raycasting as allows to see occluded objects."
"2024/05/14 12:29:20 PM GMT+1","12","Male","26","5","5","No","no","The torch is very intuitive and easy to use. It can focus on certain area and the right trigger can be quite useful when objects are overlapping.","The grab button in my right hand is not as responsive. It might be a hardware issue.","Probably replacing the right hand joystick with a new one can solve my 'dislike' straightaway","5","1","5","1","4","1","3","1","5","2","2","3","4","2","5","2","6","7","7","7","3","3","3","3","Not much need for hand movements.","Sometimes I forgot the names of some special shapes (such as pyramid cuboid). My accent sometimes make voice recognition inaccurate.","I wonder how this voice recognition system can choose some but not all of the shapes. It can select all but how does it select fewer than all?","3","1","4","2","5","1","5","1","3","4","8","1","2","6","7","7","3","4","3","5","1","1","1","1","Technique 1","I like the interactive way for selection in technique 1. And it is accurate and there's no need to remember the name of patterns or shapes.","I don't like speaking to electronic devices in general. And I don't like my accent causing inaccurate voice recognitions; for example, my 'sphere' was often recognised as 'Sofia' which is irrelavant to the task.","I wish to select a variety of combinations of different shapes, and not necessarily selecting all.",""
"2024/05/14 4:47:59 PM GMT+1","13","Female","22","2","3","Yes","n/a","didnt need to look for the object, just needed to remember the name","does not recognise my accent sometimes. it's diffucult to remember some of the object names","could make cancel a button rather than a voice command","1","4","3","2","2","3","4","3","2","4","6","1","3","4","6","5","3","5","5","5","2","2","2","2","did not need to think about the name of the object","could not see a list of the object i have selected. Difficult to find objects - especially when they are overlapping. grab button was very unresponsive, sometimes had to press repeatedly. Not sure whether to look at the torch light or the minimap. Time consuming","","1","5","1","4","2","5","2","5","3","2","2","6","3","7","8","8","1","2","1","4","5","5","5","3","Technique 1","I like that the selected objects were listed in technique1. I liked that technique2 was not dependent on speech","Both techniques suffered from lag. Need a higher performance machine.","Would be nice to combine the two techniques. I'd like to primarily use voice commands but have technique 2 as a backup when it doesn't understand me.","I might prefer technique 2 in quiet situations, such as at night."
"2024/05/17 10:13:00 AM GMT+1","14","Male","27","2","4","Yes","no","Quick for selecting multiple objects or if I am unsure on where an object is / it is too far away to select","Waiting for the tone, small learning curve to objects names","","5","2","5","3","5","4","4","1","5","4","2","1","1","1","3","1","7","6","6","7","4","4","4","6","More fun, felt like I was actually searching for the object. On the second search for each object the fact that i knew where to look exactly and what rotation to have my hands at to locate the object meant it felt quicker than speech","Slower for finding multiple objects. Objects that are quite hidden inside other objects could be hard to find","I enjoyed using this version more that the speech and ray casting for sure. But I think it was slower. Also the grab button didnt always work which made using the method a bit clunky. ","4","1","4","1","5","1","3","1","5","1","5","3","1","1","2","1","6","5","4","2","7","6","6","6","Technique 2","Being able to see the objects in 3D is so much fun and a really quick way of checking you have the right one in the event that the object youre selecting could look like another at a different angle (this worked better for technique 2, but even in 1 being able to look around was helpful). The use of VR for this stuff is really cool. ","The grab button didnt always work which could be annoying. ","Maybe being able to rotate my entire view by 90degrees , i am unsure if that would make me motion sick however. But sometimes when selecting really far objects it felt like it would have been quicker if I could reverse the field and see it from the other side (so rotating my view 180 degrees). ",""
"2024/05/18 4:27:16 PM GMT+1","15","Female","28","5","4","No","No","By using the voice conmmand, I don't have to put in the effort to visually identify the target. And it is especially helpful in cases where the target(s) is blocked and hard to select.","1.The voice recognition is not all always accurate and I need to go through the extra steps to deselct and put in voice command again. When it misinterpretted the same voice command several times, it made me start to question whether it will eventually get it right or not. 2. Through my interactions with the system, I have learned to speak slower than my natural speaking speed when giving voice commands, which isn't a very smooth experience for me. 3. It's seemed that I cannot make mistakes when giving voice commands. Sometime I found myself stutter and might used the wrong words, and I had to start all over again without means to make corrections. Ray cast offered more flexibility in this regard, I can deselect an object easily.","","3","2","4","1","3","3","4","2","5","1","2","2","2","2","3","2","5","6","5","7","3","4","2","1","It's helpful to be able to see something afar up close. It gave me a better understanding of the bigger picture and make me feel more confident that I didn't miss something.","1.Pressing the selection button didn't work a lot of times, and it was unclear to me what might be wrong. It seemed a little random when I could make a valid selection. 2. It was not intuitive to me that if I select multiple objects that are overlapping, they will apearn on outside of the grey circle. I originally thought those are additional objects in the adjacent area rather than copies of the things within the grey circle. There could be additional visual indicators to make it more clear that those are the ""duplicates"" appeared separately for easy selection","Maybe having instructions always appear in the environment would be helpful. I.e. select using trigger/control button, then press B to finish. Sometimes I forgot which one is the right button to use at certain steps.","4","3","3","1","2","4","4","3","3","1","3","4","2","2","3","5","4","5","5","4","4","4","3","2","Technique 1","I like being able to make all selection by giving one voice command.","When the wrong objects are selected due to failed speech recognition, I had to go back to deselct everything and start over.","I wish there was a confirmation step after I give voice command, i.e. the system will first show me what it recognize from my speech and ask me if it's accurate and want to proceed before making the action.  ","Maybe the training for each technique can start before the actual test. Right now trainings for bothg are at the very beginning of the session, and we actually started with the training for technique 2. It took me some time to remember the correct steps. "
"2024/05/18 6:10:21 PM GMT+1","16","Female","23","1","3","Yes","No","so much easier to use speech rather than to find using the arrow. If it is infront of you, and you are easily able to spot it, then it isgood. if not, then speech recogniton is a good method","Nothing","NA","5","1","5","2","5","1","5","1","5","1","1","1","1","1","1","1","7","7","7","7","2","7","7","7","that you can see the shapes closer and clearer","It takes alot of time ti find it and becomes frustrating","wouldnt want to use this technique again","1","5","3","4","4","1","2","5","3","4","10","5","10","3","10","10","1","1","1","4","5","4","2","1","Technique 1","the sound feature as it was easier to spot","trying to figure out the map one, selectign and deselecting. The map technique had more buttons to press. ","maybe not press the button A at all for the sound. Automatically saying select xyz would give the solution","NA"
"2024/05/18 9:32:54 PM GMT+1","17","Male","32","4","4","No","","Simple, straightforward, two choices to execute different orders","sometimes hard to name the object to choose, while using spoken orders; when objects are far away and small, pressing movements aren't stable to pick them","could adopt long pressing to chose objects","4","2","4","3","4","2","4","2","4","2","2","2","2","2","1","1","6","6","6","6","5","5","5","5","pinpoint and select function are good for seeking for objects in complicated mix","the middle finger of my right hand needs to press several times to select the object;","","3","3","3","2","3","3","4","3","3","3","6","4","4","7","6","6","4","4","4","3","4","5","4","4","Technique 1","spoken orders","right middle fingle press to confirm","long hold to select the object",""
"2024/05/19 4:10:08 PM GMT+1","18","Female","19","3","2","No","no","This technique can largely enhance the accuracy of object selection compared to gaze tracking technique.","When using voice input, it sometimes identifies wrong words and thus requires very accurate pronounciation.","Users with accent, such as British accent, may find it difficult to master this technique. However, for those with perfect pronounciation, this technique can significantly improve their productivity. Raycast is more complex but easier to be used for those with accent.","5","2","4","3","5","1","4","2","4","1","2","1","5","2","3","1","7","6","6","6","7","7","7","6","This technique can significantly increase the accuracy of object selection, especially when objects are overlapped. Through this technique, user can easily seperate and select the targeted object.","It takes several actions to select the target object, especially when the user need to select twice to isolate the target object from a set of overlapped objects. ","Just wondering if it's possible to automatically seperate the overlapped objects for selection when the controller is placed at overlapped objects.","5","2","4","3","5","1","4","2","5","1","2","2","5","1","2","2","7","6","7","1","7","7","7","7","Technique 2","Both are useful for enhancing the accuracy of object selection.","Both techniques have some minor difficulties when being used in practice.","higher tolerance to accent and fewer steps to isolate an object from overlapped ones.","Very useful and promising techniques that have huge potential. Looking forward to its further improvement and applications."
