Timestamp,Age (Optional),Gender (Optional),Do you have any disability? (Optional),Can you name this object in no more than two words?,Can you name this object in no more than two words?,Can you name this object in no more than two words?,Can you name this object in no more than two words?,Can you name this object in no more than two words?,Can you name this object in no more than two words?,Can you name this object in no more than two words?,Can you name this object in no more than two words?,Can you name this object in no more than two words?,Can you name this object in no more than two words?,Can you name this color in no more than two words?,Can you name this color in no more than two words?,Can you name this color in no more than two words?,Can you name this color in no more than two words?,Can you name this color in no more than two words?,Can you name this texture in no more than two words?,Can you name this texture in no more than two words?,Can you name this texture in no more than two words?,Can you name this texture in no more than two words?,Can you name this texture in no more than two words?,What would you call the object centered in the white region to distinguish it from other objects? (no more than 3 words),What would you call the object centered in the white region to distinguish it from other objects? (no more than 3 words),What would you call the object centered in the white region to distinguish it from other objects? (no more than 3 words),What would you call the object centered in the white region to distinguish it from other objects? (no more than 3 words),What would you call the object centered in the white region to distinguish it from other objects? (no more than 3 words),What would you call the object centered in the white region to distinguish it from other objects? (no more than 3 words),What would you call the object centered in the white region to distinguish it from other objects? (no more than 3 words),What would you call the object centered in the white region to distinguish it from other objects? (no more than 3 words),What would you call the object centered in the white region to distinguish it from other objects? (no more than 3 words),What would you call the object centered in the white region to distinguish it from other objects? (no more than 3 words)
2024/02/23 4:35:08 PM GMT+1,40,Male,,Sphere,Capsule ,"No, I can't",Cylinder,"No, I can't","No, I can't",Two cuboids,Pyramid ,"No, I can't",Cube,Blue,Green,Red,White,Purple ,"No, I can't","No, I can't","No, I can't","No, I can't","No, I can't",Purple cube,White pyramid,blue capsule ,Textured sphere,Textured cylinder ,I don't know,I don't know,I don't know,I don't know,I don't know
2024/02/23 4:56:06 PM GMT+1,28,Female,No,Sphere,Capsule,"No, I can't",Cylinder,"No, I can't",Polyhedron,Cross,Pyramid,"No, I can't",Cube,Blue,Green,Maroon,Greyish white,Purple,"No, I can't","No, I can't","No, I can't","No, I can't","No, I can't",purple cube,White pyramid,blue capsule,Textured sphere,Maroon cylinder,green cross,Maroon pyramid,blue polyhedron,I don't know,I don't know
2024/02/23 8:12:06 PM GMT+1,22,Male,,Sphere ,Hemispherical cylinder,Beveled cylinder,cylinder,"No, I can't",D20 dice,Roof cross ,hexagonal pyramid,"No, I can't",Cube,Mat blue,Mat green,Red metallic,White,Purple,red fabric,Blue fabric,"No, I can't",Beige fabric,Rough fabric ,Purple cube,White pyramid ,Blue hemispherical cylinder,White patterned sphere ,Redish cylinder,Green cross,I don't know,Blue d20 dice,Beige beveled cylinder,I don't know
2024/02/23 9:58:38 PM GMT+1,21,Male,No,Sphere,Pill,"No, I can't",Cylinder,"No, I can't","No, I can't",Two cuboids,Pyramid ,"No, I can't",Cube,Blue,Green,Red,Grey ,Purple,Red pattern,"No, I can't","No, I can't","No, I can't","No, I can't",Purple cuboid,Pyramid ,Blue pill,Patterned sphere ,Red blue patterned cylinder,Two intersecting green cuboids,Red pyramid with cuboid ,I don't know,Yellow patterns cylindrical,Grey and purple distorted sphere 
2024/02/23 11:52:00 PM GMT+1,20,Female,,sphere,pill shape,angled cylinder,cylinder,pointed crucifix,deltahedron,3D cross,half pyramid,peeled sphere,cube,ocean blue,lime green,rusty red,plain white,purple,"No, I can't","No, I can't","No, I can't","No, I can't","No, I can't",purple cube,white pyramid,blue pill,blue and white sphere ,red patterned cylinder,green cross,pink pointed crucifix,blue and yellow deltahedron,yellow cylinder ,black and purple sphere
2024/02/24 9:35:54 AM GMT+1,43,Male,no,sphere,"No, I can't",cylinder,cylinder,"No, I can't",hexa,"No, I can't",triangle,"No, I can't",cube,blue,green,red,gray,purple,red,"No, I can't","No, I can't",golden,"No, I can't",cube,triangle,capsule,sphere,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know
2024/02/25 10:51:16 AM GMT+1,21,Male,No,Sphere,Pill,"No, I can't",Cylinder,"No, I can't",Triangle-Cube,"No, I can't","No, I can't","No, I can't",Cube,Seablue,Green,Glossy-Red,White,Purple,Chinese-Oriental,Oriental,Oriental,Egyptic,"No, I can't",Purple Cube,Five-Sided-Pyramid,Blue Pill,Maritime Sphere,Chinese-Oriental Pillar,Green Cross,I don't know,Oriental Textured Triangle-Cube,I don't know,I don't know
2024/02/25 12:11:36 PM GMT+1,29,Male,No,Sphere ,Capsule,"No, I can't",Cylinder,"No, I can't",Deltahedron,"No, I can't",Hexagonal pyramid,Barrel ,Cube,Blue sphere ,Green sphere ,Red sphere ,Silver sphere ,Purple sphere ,"No, I can't","No, I can't","No, I can't",,"No, I can't",Purple cube,Withe Hexagonal pyramid,I don't know,I don't know,A cylinder with a red background and blue flowers and symmetrical lines on its surface,Two green cuboids that have crossed each other,I don't know,A Icosahedron with a blue background and yellow lines,I don't know,A barrel with a black background and purple irregular lines
2024/02/25 12:25:36 PM GMT+1,28,Female,No,Sphere,Capsule,"No, I can't",glass,"No, I can't",deltahedron,"No, I can't",Hexagonal pyramid,barrel,Cube,blue sphere,Green sphere,Red sphere,White sphere,Purple sphere,"No, I can't","No, I can't","No, I can't","No, I can't","No, I can't",Purple cube,white pyramid,Blue capsule,Textured sphere with white background with blue symmetrical geometric shapes,A cylinder with a carpet-like texture with a red background and blue flowers,Two green cuboids that have crossed each other like a plus sign,A red pyramid near the top of which is a rectangular cube sunk diagonally,An icosahedron with a blue background and yellow lines like leaves,diagonally cut 12-sided cylinder with light yellow background with mustard geometric designs,A barrel with a dark gray background and purple irregular lines
2024/02/25 4:00:40 PM GMT+1,,,,Ball,"No, I can't","No, I can't",Cylinder,"No, I can't","No, I can't","No, I can't","No, I can't","No, I can't",cube,Blue ball,Green ball,"No, I can't",White ball,Purple ball,"No, I can't","No, I can't","No, I can't","No, I can't","No, I can't",Purple cube,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know
