Participant,Technique,NumberOfTargets,Perplexity,trial_time
sub_1,AssistVR,1,Low,8.319783667
sub_1,AssistVR,1,Medium,6.260426
sub_1,AssistVR,1,High,12.643129
sub_1,AssistVR,2,Low,6.751358333
sub_1,AssistVR,2,Medium,10.60400267
sub_1,AssistVR,2,High,9.708924
sub_1,AssistVR,4,Low,9.754335
sub_1,AssistVR,4,Medium,9.746814667
sub_1,AssistVR,4,High,17.24473967
sub_1,DiscPIM,1,Low,6.147953
sub_1,DiscPIM,1,Medium,4.431875667
sub_1,DiscPIM,1,High,3.23881
sub_1,DiscPIM,2,Low,8.711193
sub_1,DiscPIM,2,Medium,5.601267333
sub_1,DiscPIM,2,High,6.498718333
sub_1,DiscPIM,4,Low,15.55931667
sub_1,DiscPIM,4,Medium,11.77736867
sub_1,DiscPIM,4,High,16.72011333
sub_2,AssistVR,1,Low,6.513204
sub_2,AssistVR,1,Medium,3.563046667
sub_2,AssistVR,1,High,11.973611
sub_2,AssistVR,2,Low,9.478811667
sub_2,AssistVR,2,Medium,23.941448
sub_2,AssistVR,2,High,15.268943
sub_2,AssistVR,4,Low,10.625453
sub_2,AssistVR,4,Medium,15.59548667
sub_2,AssistVR,4,High,28.46590367
sub_2,DiscPIM,1,Low,8.433756
sub_2,DiscPIM,1,Medium,4.248077
sub_2,DiscPIM,1,High,6.373825333
sub_2,DiscPIM,2,Low,9.990295667
sub_2,DiscPIM,2,Medium,8.220540333
sub_2,DiscPIM,2,High,12.885032
sub_2,DiscPIM,4,Low,20.25643
sub_2,DiscPIM,4,Medium,23.67676
sub_2,DiscPIM,4,High,25.74708
sub_3,AssistVR,1,Low,12.70186767
sub_3,AssistVR,1,Medium,7.666158
sub_3,AssistVR,1,High,7.716934
sub_3,AssistVR,2,Low,6.098867
sub_3,AssistVR,2,Medium,7.796203667
sub_3,AssistVR,2,High,8.962078667
sub_3,AssistVR,4,Low,6.919698
sub_3,AssistVR,4,Medium,6.713419667
sub_3,AssistVR,4,High,9.566436667
sub_3,DiscPIM,1,Low,5.691711333
sub_3,DiscPIM,1,Medium,5.426229
sub_3,DiscPIM,1,High,5.267669667
sub_3,DiscPIM,2,Low,20.47911333
sub_3,DiscPIM,2,Medium,8.784406
sub_3,DiscPIM,2,High,14.11329
sub_3,DiscPIM,4,Low,24.83941667
sub_3,DiscPIM,4,Medium,25.27803667
sub_3,DiscPIM,4,High,63.02934
sub_4,AssistVR,1,Low,9.235075333
sub_4,AssistVR,1,Medium,15.36498
sub_4,AssistVR,1,High,13.597585
sub_4,AssistVR,2,Low,10.88686967
sub_4,AssistVR,2,Medium,9.216636
sub_4,AssistVR,2,High,20.42986333
sub_4,AssistVR,4,Low,14.46585333
sub_4,AssistVR,4,Medium,9.317994333
sub_4,AssistVR,4,High,12.71437667
sub_4,DiscPIM,1,Low,11.29534867
sub_4,DiscPIM,1,Medium,7.058573333
sub_4,DiscPIM,1,High,6.705973333
sub_4,DiscPIM,2,Low,18.67313667
sub_4,DiscPIM,2,Medium,14.88769667
sub_4,DiscPIM,2,High,11.77758933
sub_4,DiscPIM,4,Low,44.94347
sub_4,DiscPIM,4,Medium,23.56170667
sub_4,DiscPIM,4,High,47.81195667
sub_5,AssistVR,1,Low,6.154053
sub_5,AssistVR,1,Medium,13.393475
sub_5,AssistVR,1,High,10.51403967
sub_5,AssistVR,2,Low,5.826354667
sub_5,AssistVR,2,Medium,17.75411
sub_5,AssistVR,2,High,11.824572
sub_5,AssistVR,4,Low,14.651033
sub_5,AssistVR,4,Medium,12.14187
sub_5,AssistVR,4,High,31.66181067
sub_5,DiscPIM,1,Low,6.162843
sub_5,DiscPIM,1,Medium,7.731323333
sub_5,DiscPIM,1,High,10.311757
sub_5,DiscPIM,2,Low,17.13834667
sub_5,DiscPIM,2,Medium,18.43268
sub_5,DiscPIM,2,High,18.241071
sub_5,DiscPIM,4,Low,39.8539
sub_5,DiscPIM,4,Medium,24.31262
sub_5,DiscPIM,4,High,34.94013
sub_6,AssistVR,1,Low,10.5666505
sub_6,AssistVR,1,Medium,10.25658667
sub_6,AssistVR,1,High,8.770517333
sub_6,AssistVR,2,Low,9.817869667
sub_6,AssistVR,2,Medium,4.728841333
sub_6,AssistVR,2,High,12.30250833
sub_6,AssistVR,4,Low,18.088949
sub_6,AssistVR,4,Medium,14.47810333
sub_6,AssistVR,4,High,10.526388
sub_6,DiscPIM,1,Low,6.646037
sub_6,DiscPIM,1,Medium,7.239704667
sub_6,DiscPIM,1,High,6.478597333
sub_6,DiscPIM,2,Low,8.627197
sub_6,DiscPIM,2,Medium,12.54260167
sub_6,DiscPIM,2,High,26.804446
sub_6,DiscPIM,4,Low,20.974305
sub_6,DiscPIM,4,Medium,19.6215
sub_6,DiscPIM,4,High,29.01082
sub_7,AssistVR,1,Low,7.910543
sub_7,AssistVR,1,Medium,10.16840133
sub_7,AssistVR,1,High,8.348698
sub_7,AssistVR,2,Low,5.973927667
sub_7,AssistVR,2,Medium,9.935856
sub_7,AssistVR,2,High,9.894848333
