Participant,Technique,NumberOfTargets,Perplexity,trial_time
sub_1,AssistVR,1,Low,17.63944167
sub_1,AssistVR,1,Medium,14.43322367
sub_1,AssistVR,1,High,25.83024867
sub_1,AssistVR,2,Low,9.391962333
sub_1,AssistVR,2,Medium,11.406402
sub_1,AssistVR,2,High,21.21256333
sub_1,AssistVR,4,Low,11.46311867
sub_1,AssistVR,4,Medium,13.85235567
sub_1,AssistVR,4,High,33.4355
sub_1,DiscPIM,1,Low,7.578461
sub_1,DiscPIM,1,Medium,4.81441
sub_1,DiscPIM,1,High,7.582488
sub_1,DiscPIM,2,Low,17.25974667
sub_1,DiscPIM,2,Medium,11.72900033
sub_1,DiscPIM,2,High,12.025204
sub_1,DiscPIM,4,Low,22.45490667
sub_1,DiscPIM,4,Medium,13.75010667
sub_1,DiscPIM,4,High,17.95683667
sub_2,AssistVR,1,Low,10.60433067
sub_2,AssistVR,1,Medium,23.85154333
sub_2,AssistVR,1,High,8.191207667
sub_2,AssistVR,2,Low,17.55089
sub_2,AssistVR,2,Medium,10.21504567
sub_2,AssistVR,2,High,11.49777233
sub_2,AssistVR,4,Low,16.65916
sub_2,AssistVR,4,Medium,21.99255333
sub_2,AssistVR,4,High,13.42478667
sub_2,DiscPIM,1,Low,9.202535333
sub_2,DiscPIM,1,Medium,7.040120333
sub_2,DiscPIM,1,High,6.502347333
sub_2,DiscPIM,2,Low,13.21382833
sub_2,DiscPIM,2,Medium,16.577781
sub_2,DiscPIM,2,High,13.23110333
sub_2,DiscPIM,4,Low,33.64417
sub_2,DiscPIM,4,Medium,50.17301667
sub_2,DiscPIM,4,High,29.62713667
sub_3,AssistVR,1,Low,11.183876
sub_3,AssistVR,1,Medium,15.900605
sub_3,AssistVR,1,High,15.10740667
sub_3,AssistVR,2,Low,8.010793
sub_3,AssistVR,2,Medium,10.762043
sub_3,AssistVR,2,High,17.58204333
sub_3,AssistVR,4,Low,9.464450667
sub_3,AssistVR,4,Medium,8.548147333
sub_3,AssistVR,4,High,14.67074667
sub_3,DiscPIM,1,Low,10.60105267
sub_3,DiscPIM,1,Medium,7.665488
sub_3,DiscPIM,1,High,9.224827
sub_3,DiscPIM,2,Low,27.81924
sub_3,DiscPIM,2,Medium,12.97515
sub_3,DiscPIM,2,High,38.88871
sub_3,DiscPIM,4,Low,40.72125333
sub_3,DiscPIM,4,Medium,31.21761333
sub_3,DiscPIM,4,High,77.19272333
sub_4,AssistVR,1,Low,9.73004
sub_4,AssistVR,1,Medium,24.39240333
sub_4,AssistVR,1,High,23.21553667
sub_4,AssistVR,2,Low,18.46338
sub_4,AssistVR,2,Medium,18.83475667
sub_4,AssistVR,2,High,51.18298667
sub_4,AssistVR,4,Low,29.46190867
sub_4,AssistVR,4,Medium,17.61605
sub_4,AssistVR,4,High,13.449666
