subjedct_id,high,low,medium
1,169.0,121.0,230.0
2,221.0,29.0,42.0
3,182.0,189.0,79.0
4,260.0,63.0,163.0
5,217.0,254.0,118.0
6,279.0,176.0,263.0
7,212.0,45.0,178.0
8,248.0,136.0,198.0
9,234.0,73.0,210.0
10,245.0,57.0,110.0
11,244.0,238.0,172.0
12,185.0,207.0,201.0
13,203.0,165.0,162.0
14,166.0,95.0,154.0
15,183.0,124.0,147.0
16,61.0,48.0,39.0
17,231.0,225.0,181.0
18,227.0,170.0,71.0
19,164.0,196.0,193.0
20,214.0,41.0,49.0
21,85.0,68.0,125.0
22,158.0,105.0,87.0
23,232.0,115.0,249.0
24,77.0,36.0,27.0
